Staff Automation Engineer (Fiber Channel),Markelytics Solutions India Private Limited,Pune,3-9years,Not Specified,"Programming knowledge in C, C++, Tcl, Perl, expect or Shell Scripting is a plus",StaffAutomationEngineer|C|C++|Tcl|Perl|ShellScripting|python|ManualTesting|
HPC Architect,Best infosystems Ltd,Hyderabad/Secunderabad,8-10years,Not Specified,8-10 years of hands-on systems administration/engineering experience with Linux.,HPCArchitect|shellscripting|Ruby|Perl|Python|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Sr. Software Engineer - C++,Anlage Infotech India Private Limited,Bengaluru/Bangalore|Mumbai,5-10years,Not Specified,"Proven C++ developer(Design Patterns, Multi-Threading, Data Structures, File Systems etc. ) on Linux",C++|Linux|ShellScripting|
Application Packaging,ABACUS STAFFING & SERVICES PRIVATE LIMITED,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-15years,Not Specified,Job Opening With One of our MNC Client _ WFH _Pan India,AdminStudioInstallShield|MSIx|ShellScripting.|Msi|Vbscripting|
Firmware Engineer,Enroll N Pro,Delhi,3-8years,Not Specified,We have openings for Firmware engineer position in Delhi Location,FirmwareEngineer|EmbeddedFirmware|ShellScripting|C++|Tcp/ip|
Module Engineer OSS/BSS Migration,Tenetcomputer And Communication Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,"1. More than 5-8 years work experience on IT BSS domain; |  2. Expertise in data migration activities in Telecom BSS/OSS domain, specially in Kenan FX or IRB billing and Siebel or SAP CRM |  3. Project exp of at least 2 projects |  4. Strong communication |",Bss|KPI|PlsqlDeveloper|BigData|OSS|UnixShellScripting|
Python Developers,Ideslabs Private Limited,Bengaluru/Bangalore,5-7years,1310000 - 1410000 INR,Python Developer,Dockerandbash|Python|shellscripting|DJANGO|Sql|SQLserver|
Oracle Developer,Quess IT Staffing (Formerly known as Magna Infotech),Noida|Pune,5-10years,Not Specified,"Oracle Developers create and configure applications using Oracle technologies. Usual work activities performed by these experts include leading development projects, updating databases, consulting with clients, providing technical support.",SQL&PLSQLandUNIX&ShellScripting|
C++ developer,Insigma Technologies Private Limited,Pune,3-5years,Not Specified,"Expectations: |   |  3-4.5  years of experience |  Must Have Skills – C++, Unix, Shell scripting, ORBIX/CORBA, C++ Webservices, Make Utility |  Good to have skills – SQL, Skills on DevOps tools, GDB   |",ORBIX/CORBA|C++Webservices|MakeUtility|C++|Unix|Shellscripting|
Python Developer with Linux,3 Minds ESolutions Private Limited,Bengaluru/Bangalore,3-10years,Not Specified,"1) 3+ Years of programming experience on Linux. Python/C |   2) Knowledge on client/server architectures |   3) Experience with messaging queues, and Inter process communication",Python|Linux|ShellScripting|Git|RestApi|
Production Support Engineer /Software Engineer - Control - M,Fortumax Career International Private Limited,Bengaluru/Bangalore|Mumbai,5-15years,Not Specified,URGENT HIRING FOR PRODUCTION SUPPORT ENGINEER FOR MUMBAI/CHENNAI/PUNE/BANGALORE FOR PERMANENT POSITION,ProductionSupportEngineer|Control-M|oracleSQLserver|Sql|ShellScripting|Shellscript|Perl|Python|powershell|
Application Engineer required for One Of the Leading IT Company in Chennai,URS Systems Private Limited,Chennai,4-8years,1200000 - 1500000 INR,"The Application Engineer ensures that all in-house and 3rd party applications conform to our configuration and deployment standards so that every application can be deployed, monitored and managed in a consistent and reliable fashion.",ApplicationDeveloper|Deployment|UNIX|Linux|Shellscripting|Perl|Python|IbmMqSeries|Configuration|ApacheTomcat|
Shell Scripting and python developer,Applicantz Inc,Delhi,5-7years,Not Specified,"5-7 plus years of industry experience providing hands-on technical expertise in design and deployment of cloud infrastructure solution. |   |  Strong designing and deployment experience and knowledge on any industry standard Backup Restore solution,",ShellScripting|PythonDevelopers|
Hiring - Campaign Operations  Manager(Hyderabad),White Horse Manpower Private Limited,Hyderabad/Secunderabad,5-10years,700000 - 1300000 INR,"The Campaign Operations Manager is responsible for managing the file managing cross sell data transfers to offer database, manage SFTP setups, and closely work with extended campaign management team to raise and manage change controls for data. |","""sas""|""sql""|""netezza""|""unix""|""shellscripting""|""Campaign""|""Market""|""Performance""|"
Consultant – Campaign Operations Manager (J),Quess IT Staffing (Formerly known as Magna Infotech),Hyderabad/Secunderabad,5-8years,Not Specified,"Role Summary/Purpose: |  The Campaign Operations Manager is responsible for managing |  the file managing cross sell data transfers to offer database, manage SFTP setups, and closely |  work with extended campaign management team to raise and manage change.","""Datawarehouse""|""database""|""Unix""|""ShellScripting""|""Netezza""|""SAS""|""SFTP""|""Filetransferprotocal""|""ETL""|""SQL""|"
Software Test Engineer,Marvell India Private Limited,Bengaluru/Bangalore|Remote,5-15years,900000 - 1800000 INR,Work with one of the Fortune 1000 technology companies that work in cutting-edge technology. It has been listed as Forbes's best place to work,ContinuousImprovement|Automation|Selenium|Agile|Python|UnitTesting|Objective-c|Swift|ShellScript|ShellScripting|
FUSE (Red Hat JBOSS Fuse ESB )Operation,A Thingz Solutions Private Limited,Noida,5-9years,Not Specified,•	Should have 5+ years of experience in Red Hat JBOSS Fuse ESB (preferred) or Apache Camel or any other similar ESB platforms,RedHatJBOSSFuseESB|ApacheCamel|Support|Soap|REST|LinuxOperatingSystem|BashShellScripting|Python|
ACO Data Analyst,Vitestork Consulting Private Limited,Bengaluru/Bangalore,2-4years,200000 - 400000 INR,·         Extract weekly data for COMPANIES clients·         Make sure the data is placed in the right servers·         To Run scripts to covert the data into COMPANIES ’s data warehouse format,Sql|IbmCognos|Spotfire|Scripting|Xml|JavaScript|ShellScripting|Perl|
Unix Shell Scripting,Applied Materials,Bengaluru/Bangalore|Hyderabad/Secunderabad,4-9years,Not Specified,Urgent Opening_Unix Shell Scripting_4 to 9 Years_Immediate to 15 Days_Chennai/Bangalore/Pune/Hyderabad,UnixShellScripting|UnixScripting|PerlScripting|ShellScript|
Staff Automation Engineer (Fiber Channel),Markelytics Solutions India Private Limited,Pune,3-9years,Not Specified,"Programming knowledge in C, C++, Tcl, Perl, expect or Shell Scripting is a plus",StaffAutomationEngineer|C|C++|Tcl|Perl|ShellScripting|python|ManualTesting|
HPC Architect,Best infosystems Ltd,Hyderabad/Secunderabad,8-10years,Not Specified,8-10 years of hands-on systems administration/engineering experience with Linux.,HPCArchitect|shellscripting|Ruby|Perl|Python|
