jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Fresher/CSE / 5 days working/ Rotational Shift/International BPO / US Shift,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |         Free cab facilities available in night shift)/5 Days working |         Fresher/Experience Both can apply |          Salary upto :-20k too 32 k   |         contact:- Sonali  9687676597 |         share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Process Associate - Chat Support - Email Process - Ahmedabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |     Free cab facilities available in night shift)/5 Days working |     Fresher/Experience Both can apply |      Salary upto :-20k too 32 k   |     contact:- Sonali  9687676597 |     share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Nonvoice /Fresher/Customer service executive/ 5 Dyas Working,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English (Written & Verbal) |  Flexible to work in rotational shifts (Free cab facilities available in night shift) |  Fresher/Experience Both can apply |  contact:- Sonali  9687676597 |  share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
CSE / Fresher / Night Shift  / Fluent English / International BPO / Ahmedabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English (Written & Verbal) |   Flexible to work in rotational shifts (Free cab facilities available in night shift) |   Fresher/Experience Both can apply |   contact:- Sonali  9687676597 |   share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
International BPO/Non Voice Process/US Shift/US Process/Rotational Shift/Ahmdabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Requirements: |           · Excellent written communication skills in English (Written & Verbal) |           · Ready For Night shift |           .Salary 20K-32K Per Month |           Contact Sonali Gupta |           Call:9687676597 |           Mail:rec@arisesolution.c,InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Webchat Process- Rotational Shift-5 Days- Internatiopnl BPO -Ahmedabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |       Free cab facilities available in night shift)/5 Days working |       Fresher/Experience Both can apply |        Salary upto :-20k too 32 k   |       contact:- Sonali  9687676597 |       share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Fresher/Web Chat /CSE / 5 days working/ Rotational Shift/International BPO / US Shift,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |          Free cab facilities available in night shift)/5 Days working |          Fresher/Experience Both can apply |           Salary upto :-20k too 32 k   |          contact:- Sonali  9687676597 |          share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Non Voice Process-Fluent English - International BPO- Fresher - Ahmdabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |         Free cab facilities available in night shift)/5 Days working |         Fresher/Experience Both can apply |          Salary upto :-20k too 32 k   |         contact:- Sonali  9687676597 |         share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
International BPO / Customer Support Executive / Webchat Process / 5Dyas Working,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |          Free cab facilities available in night shift)/5 Days working |          Fresher/Experience Both can apply |           Salary upto :-20k too 32 k   |          contact:- Sonali  9687676597 |          share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Non Voice Process-Fluent English - International BPO- Fresher - Ahmdabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |        Free cab facilities available in night shift)/5 Days working |        Fresher/Experience Both can apply |         Salary upto :-20k too 32 k   |        contact:- Sonali  9687676597 |        share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Process Associate -Rotational Shift - Chat Support - Email Process - Ahmedabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |      Free cab facilities available in night shift)/5 Days working |      Fresher/Experience Both can apply |       Salary upto :-20k too 32 k   |      contact:- Sonali  9687676597 |      share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Fresher/CSE / 5 days working/ Rotational Shift/ US Shift,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |    Free cab facilities available in night shift)/5 Days working |    Fresher/Experience Both can apply |     Salary upto :-20k too 32 k   |    contact:- Sonali  9687676597 |    share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Work from Home Jobs-Home based Jobs-Part time Jobs-Data entry Jobs,Zarbex Solutions,Kollam|Khammam,0-5years,150000 - 480000 INR,(On-the-spot offer letter.)Immediately Joining! |                     Concern Person Regarding That Mr. -HR Soniya |                     Contact No.- 8447612779,NonVoiceProcess|OfficeAssistant|BackOfficeSupport|Backend|
Work from Home Jobs-Home based Jobs-Part time Jobs-Data entry Jobs,Zarbex Solutions,Tumkur|Rajahmundry,0-5years,150000 - 480000 INR,(On-the-spot offer letter.)Immediately Joining! |                        Concern Person Regarding That Mr. -HR Soniya |                        Contact No.- 8447612779,NonVoiceProcess|OfficeAssistant|BackOfficeSupport|Backend|
Work from Home Jobs-Home based Jobs-Part time Jobs-Data entry Jobs,Zarbex Solutions,Salem|Tiruppur,0-5years,150000 - 480000 INR,(On-the-spot offer letter.)Immediately Joining! |                 Concern Person Regarding That Mr. -HR Soniya |                 Contact No.- 8447612779,NonVoiceProcess|OfficeAssistant|BackOfficeSupport|Backend|
"INFOSYS BPM Ltd. Hiring for Mortgage – Non Voice Process, Jaipur",Infosys BPM Limited,Jaipur,1-3years,Not Specified,"INFOSYS BPM Ltd. Hiring for Mortgage – Non Voice Process, Jaipur","""NonVoice""|""BackOffice""|""Mortgage""|"
Chennai Non-Voice - Shollinganallur,2COMS Consulting Private Limited,Chennai,0-1years,10000 - 11000 INR,Exciting Opportunity for Non Technical Graduate Fresher To Start Your Career In A Leading MNCDesignation: Customer Support - Non Voice Process.Job Role  * Non voice process  * Resolving customer queries via chat or mail support (No Calling),Voice|Bpo|nonvoice|
"Infosys BPM Ltd. Hiring For Non Voice Process, Bangalore",Infosys BPM Limited,Bengaluru/Bangalore,Fresher,Not Specified,"Infosys BPM Ltd. Hiring For Non Voice Process, Bangalore","""Freshers""|""Nonvoice""|""Nonvoiceprocess""|"
Non Voice Bpo,Manheer Singh (Proprietor Of BigBoss Decor),Hyderabad/Secunderabad,0-3years,150000 - 300000 INR,Bulk Hiring Freshers in Non Voice Process.,NonVoiceProcess|freshersBPO|Engineering|CommunicationSkills|Backend|CustomerService|NightShift|NonVoice|DataEntry|InternationalBpo|MsOffice|Technicalsupport|
Bpo Non Voice,Fazo Software,Chennai,Fresher,180000 - 340000 INR,Salary 12000 CTC |   Immediate joining |   No WFH |,BPOExecutive|BPOAnalyst|Bpo|BpoOperations|BpoNonVoice|BPOHiring|BPOCallCentre|BPOCallCenter|BPODataEntry|InternationalBpo|CallCentre|WiproBPO|CallCenterExecutive|VoiceProcess|InternationalCallCenter|DomesticBPO|BPOFresher|TeleC|
OPENINGS FOR BACK OFFICE COMPUTER OPERATER FOR FRESHERS,Career Mantra Management Services,Mumbai|Pune,0-2years,120000 - 229999 INR,"Setting up customer accounts and provide and relevant information to them. Follow the procedure, guidelines provided  |    and implement while troublesshooting queries. |    Fresher & Experience Required. |    Salary : 15k to 28k |    Experience : Data Entry, 1Year",BackOffice|BackOfficeExecutive|OfficeAssistant|Nonvoice|Operations|Computeroperator|
International Voice / Non-Voice Process,Infyjob Technology Services,Chennai,1-5years,100000 - 350000 INR,Customer Service Representative || Immediate joiner || MNC || Work From Home,InternationalVoiceSupport|internationalnon-voice|Upselling|
Immediate Openings Non-Voice Top Company in Chennai,Career Mantra Management Services,Chennai,0-2years,Not Specified,"Immediate Openings Non-Voice Top Company in Chennai best salary package chennai candidates only eligible, Without notice period candidates only apply, locations at - Guindy / Nungambakkam / Ambatthur / Mount Road further details  Regina - 7550156440",non-voice|
OPENINGS FOR BACK OFFICE COMPUTER OPERATER FOR FRESHERS,2COMS Consulting Private Limited,Mumbai|Pune,0-2years,120000 - 229999 INR,"Setting up customer accounts and provide and relevant information to them. Follow the procedure, guidelines provided  |   and implement while troublesshooting queries. |   Fresher & Experience Required. |   Salary : 15k to 28k |   Experience : Data Entry, 1Year",BackOffice|BackOfficeExecutive|OfficeAssistant|Nonvoice|Operations|Computeroperator|
