MBA – MARKETING,Neptune Automation,Erode|Salem,2-5years,Not Specified,Looking for MBA – MARKETING,Marketing|MBAMarketing|ProductPromotion|Advertising|Branding|
Production Head,Neptune Automation,Coimbatore|Erode,5-10years,Not Specified,Looking for Production Head,ProductionHead|ProductionPlanning|Fabrication|2DDrawings|
Production Head,Neptune Automation,Salem,5-10years,Not Specified,Looking for Production Head,ProductionHead|ProductionPlanning|Fabrication|2DDrawings|
Immediate opening for library schneider plc developer,Axcend Automation And Software Solutions Private Limited,Bengaluru/Bangalore,3-7years,Not Specified,Library schneider plc,schneiderplc|LadderLogic|Modbus|
"ELECTRICIAL HEAD - QUAL:EEE,ECE,DEEE",Neptune Automation,Erode,5-10years,Not Specified,ALL SITE ELECTRICAL WORK MONITOR AND FOLLOW UP/PLC PANEL KNOWLEDGE,ELECTRICIALHEAD|ElectricalEngineer|HeadElectrical|ElectricalDrawing|ELECTRICALWORKMONITOR|
CIVIL HEAD,Neptune Automation,Erode,5-10years,Not Specified,CIVIL WORK PLANNING & EXECUTION',CivilHead|CivilEngineering|SITEWORKAllocation|CIVILDRAWINGSMAKING|CIVILWORKPLANNING|
GST Practitioner / GST Support,Renovision Automation Services Private Limited,Noida,3-6years,200000 - 800000 INR,"Required candidates 3+Yrs Exp in GST Practitioner Certified with good Comm. Skills |  Provide Support in GST related quarries via Calls, Mails, Chats Process |  Calling Process with 24*7 Shifts |  working Knowledge in Ticketing Tools & SLA |   |  Location : G.Noida",GSTsupport|GSTCalling|GSTCertified|GSTPractitioner|GSTVoicesupport|
Excellent job opportunity for Technical Lead Cloud with our MNC Client!!,Access Automation Private Limited,Bengaluru/Bangalore,6-8years,Not Specified,Excellent job opportunity for Technical Lead Cloud with our MNC Client!!,ExcellentjobopportunityforTechnicalLeadCloudwithourMNCClient!!|
IT Recruiter,Access Automation Private Limited,Bengaluru/Bangalore,1-2years,Not Specified,IT recruiter job opportunity with Jyopa Connexions_ bangalore |,ItRecruiter|C2H|
Big Data Developer,Renovision Automation Services Private Limited,Bengaluru/Bangalore,5-7years,Not Specified,"We are looking Big Data Developer with Python, Spark and Hive.",BigDataDeveloper|BigdataEngineer|BigDataAnalyst|SeniorBigDataDeveloper|DataEngineer|
Big Data Developer,Renovision Automation Services Private Limited,Bengaluru/Bangalore,5-7years,Not Specified,"We are looking Big Data Developer with Python, Spark and Hive.",BigDataEngineer|BigDataDeveloper|DateEngineer|BigDataAnalyst|SeniorBigDataDeveloper|
Tester,Renovision Automation Services Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Minimum 5 to 6 yrs of strong experience in functional/Regression Testing both    Manual and Automation for software aplications.,SoftwareTestEngineer|Manualtestengineer|Tester|SoftwareTester|TestEngineer|AutomationTester|ManualTester|
Java Developer,Renovision Automation Services Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,We require Java Developer with 5 to 6 yrs experience.,Javadeveloper|corejavadeveloper|JavaProgrammer|javaj2eedeveloper|softwaredeveloper|SeniorJavaDeveloper|
Excellent job opportunity for  Automatic testing with our MNC Client!!,Access Automation Private Limited,Bengaluru/Bangalore,3-6years,Not Specified,Excellent job opportunity for  Automatic testing with our MNC Client!! |,ExcellentjobopportunityforAutomatictestingwithourMNCClient!!|
Excellent job opportunity for  java with our MNC Client!!,Access Automation Private Limited,Chennai,5-8years,Not Specified,Excellent job opportunity for  java with our MNC Client!!  |,ExcellentjobopportunityforjavawithourMNCClient!!|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Digital Marketing,Secutech Automation India Pvt Ltd,Bengaluru/Bangalore|Mumbai,2-6years,Not Specified,"Create, Own & Run the Digital Marketing Strategy of the Group",MailChimpIntegration|Salesforce|
Hadoop Developer,Renovision Automation Services Private Limited,Gurgaon/Gurugram,3-7years,Not Specified,"Hadoop developer, Hadoop Administration",MapReduce|HDFS|Hadoop|Bigdata|Hive|
Oracle DBA,Renovision Automation Services Private Limited,Mumbai,1-10years,Not Specified,Expertise in Oracle DBA- Monitoring and Support,OracleDatabase|OracleDba|Rman|Grid|
Arista Network Administrator,Renovision Automation Services Private Limited,Mumbai,4-8years,Not Specified,"Arista Administrator, Arista monitoring and set up, Arista Network Admin",AristaNetwork|
Maintenance Head - Tamilnadu,Neptune Automation,Coimbatore|Erode,3-5years,Not Specified,Looking for Maintenance Head - Tamilnadu,MaintenanceHead|HeadMaintenance|Maintenance|
Oracle Business Intelligence Application,Renovision Automation Services Private Limited,Noida,5-10years,Not Specified,"Oracle Business Intelligence Applications  |  Oracle Business Intelligence Applications - OBIA-L3, (Mandatory) and Oracle SQL-L3, (secondary)",Obia|
Java Developer,Renovision Automation Services Private Limited,Delhi,2-6years,Not Specified,"1.	Good knowledge and Hands-on experience in core Java, J2EE, Spring framework, Hibernate |  2.	Experience with web technologies including Angular JS,HTML 5,XHTML,CSS, |  3.	Good working knowledge of GIT and Maven |  4.	Clear on Java OOPs concepts, Exceptions",1.GoodknowledgeandHands-onexperienceincoreJava|Hibernate2.ExperiencewithwebtechnologiesincludingAngularJS|3.GoodworkingknowledgeofGITandMaven4.ClearonJavaOOPsconcepts|J2EE|SpringFramework|Html5|XHTML|CSS|Exceptions|
.Net Developer,Secutech Automation India Pvt Ltd,Mumbai,3-5years,350000 - 450000 INR,"Seeking a .NET developer having 3+ years of experience, responsible for building .NET applications using WPF, Restful APIs, MS SQL 2012+, MVC design.",-Strongknowledgeof.NETwebframework4.5+-ProficientinC#withagoodknowledgeoftheirecosystems-Strongunderstandingofobject-orientedprogramming-Skillforwritingreusablelibraries-3+yearsofexperienceinMicrosoftSQLServer2|
Node JS Developer,Renovision Automation Services Private Limited,Bengaluru/Bangalore,3-6years,Not Specified,"Primary: NodeJS, Typescript , Loopback |  Good to have: MSSQL 2016, CI / CD DevOps , Gitlab , Harbor ,  Jenkins,  Jira , Kubernetes,  Docker, sonarqube (any other code quality tool ) |",Primary:NodeJS|LoopbackGoodtohave:MSSQL2016|CI/CDDevOps|Harbor|sonarqube(anyothercodequalitytool)|Typescript|Gitlab|Jenkins|Jira|Kubernetes|Docker|
MBA – MARKETING,Neptune Automation,Erode|Salem,2-5years,Not Specified,Looking for MBA – MARKETING,Marketing|MBAMarketing|ProductPromotion|Advertising|Branding|
Production Head,Neptune Automation,Coimbatore|Erode,5-10years,Not Specified,Looking for Production Head,ProductionHead|ProductionPlanning|Fabrication|2DDrawings|
Production Head,Neptune Automation,Salem,5-10years,Not Specified,Looking for Production Head,ProductionHead|ProductionPlanning|Fabrication|2DDrawings|
Immediate opening for library schneider plc developer,Axcend Automation And Software Solutions Private Limited,Bengaluru/Bangalore,3-7years,Not Specified,Library schneider plc,schneiderplc|LadderLogic|Modbus|
"ELECTRICIAL HEAD - QUAL:EEE,ECE,DEEE",Neptune Automation,Erode,5-10years,Not Specified,ALL SITE ELECTRICAL WORK MONITOR AND FOLLOW UP/PLC PANEL KNOWLEDGE,ELECTRICIALHEAD|ElectricalEngineer|HeadElectrical|ElectricalDrawing|ELECTRICALWORKMONITOR|
CIVIL HEAD,Neptune Automation,Erode,5-10years,Not Specified,CIVIL WORK PLANNING & EXECUTION',CivilHead|CivilEngineering|SITEWORKAllocation|CIVILDRAWINGSMAKING|CIVILWORKPLANNING|
GST Practitioner / GST Support,Renovision Automation Services Private Limited,Noida,3-6years,200000 - 800000 INR,"Required candidates 3+Yrs Exp in GST Practitioner Certified with good Comm. Skills |  Provide Support in GST related quarries via Calls, Mails, Chats Process |  Calling Process with 24*7 Shifts |  working Knowledge in Ticketing Tools & SLA |   |  Location : G.Noida",GSTsupport|GSTCalling|GSTCertified|GSTPractitioner|GSTVoicesupport|
Excellent job opportunity for Technical Lead Cloud with our MNC Client!!,Access Automation Private Limited,Bengaluru/Bangalore,6-8years,Not Specified,Excellent job opportunity for Technical Lead Cloud with our MNC Client!!,ExcellentjobopportunityforTechnicalLeadCloudwithourMNCClient!!|
IT Recruiter,Access Automation Private Limited,Bengaluru/Bangalore,1-2years,Not Specified,IT recruiter job opportunity with Jyopa Connexions_ bangalore |,ItRecruiter|C2H|
Big Data Developer,Renovision Automation Services Private Limited,Bengaluru/Bangalore,5-7years,Not Specified,"We are looking Big Data Developer with Python, Spark and Hive.",BigDataDeveloper|BigdataEngineer|BigDataAnalyst|SeniorBigDataDeveloper|DataEngineer|
Big Data Developer,Renovision Automation Services Private Limited,Bengaluru/Bangalore,5-7years,Not Specified,"We are looking Big Data Developer with Python, Spark and Hive.",BigDataEngineer|BigDataDeveloper|DateEngineer|BigDataAnalyst|SeniorBigDataDeveloper|
Tester,Renovision Automation Services Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Minimum 5 to 6 yrs of strong experience in functional/Regression Testing both    Manual and Automation for software aplications.,SoftwareTestEngineer|Manualtestengineer|Tester|SoftwareTester|TestEngineer|AutomationTester|ManualTester|
Java Developer,Renovision Automation Services Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,We require Java Developer with 5 to 6 yrs experience.,Javadeveloper|corejavadeveloper|JavaProgrammer|javaj2eedeveloper|softwaredeveloper|SeniorJavaDeveloper|
Excellent job opportunity for  Automatic testing with our MNC Client!!,Access Automation Private Limited,Bengaluru/Bangalore,3-6years,Not Specified,Excellent job opportunity for  Automatic testing with our MNC Client!! |,ExcellentjobopportunityforAutomatictestingwithourMNCClient!!|
Excellent job opportunity for  java with our MNC Client!!,Access Automation Private Limited,Chennai,5-8years,Not Specified,Excellent job opportunity for  java with our MNC Client!!  |,ExcellentjobopportunityforjavawithourMNCClient!!|
