jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Technical Support,Hiringhub,NaviMumbai,0-2years,90000 - 240000 INR,Hiring for Hsc and Graduate Fresher!!,CustomerSupport|USShift|TechnicalSupport|
Technical Support  Voice - Gurgaon,2COMS Consulting Private Limited,Gurgaon/Gurugram,1-7years,200000 - 370000 INR,Exciting Opportunity for Experienced Technical Support Executive In A Leading MNCDesignation: Technical SupportJob role  *  Have to solve Candidate Technical Quires through incoming calls.  *  Educating the customer about the technical issue,Troubleshooting|TechnicalKnowledge|CustomerSupport|TechncialSupport|
Technical Support Engineer / Tech Support / Technical Support Executive / TSE,Parahit Technologies Limited,Kozhikode/Calicut,2-5years,Not Specified,Looking for Technical Support Engineer,Linux|Centos|Windows|TechnicalSupport|
Technical Support Representative,Cappricos Technology Solutions Private Limited,Bengaluru/Bangalore,0-2years,100000 - 210000 INR,L1 technical support process: |   if interested Kindly call or Forward your Updated Resume to  |   Saima - 9731172224 |   Email:- [HIDDEN TEXT],TechSupportRepresentative|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Technical Support Engineer,Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore|Hyderabad/Secunderabad,2-4years,Not Specified,L2 Technical Support,CustomerSupportExecutive|TechnicalSupportExecutive|TechnicalSupportEngineer|TechnicalSupportOfficer|TechSupport|TechnicalSupportRepresentative|
Technical Support / Customer Support / Enterprise Support,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 560000 INR,Technical Support voice process jobs  |   |  CTC-5.6 lpa |  Skype interviews |   |  Sam-9999300435,Helpdesk|CustomerSupport|TSE|TSR|Activedirectory|Technicalsupport|ServiceDeskAnalyst|TechSupport|Fsmo|Dns|DHCP|ExchangeServer|Office365|O365|microsoftonlineservices|windowsintune|
Technical Support/Customer Support - Chandigarh,2COMS Consulting Private Limited,Mohali|Panchkula|Chandigarh,1-5years,Not Specified,"Technical support opening in MNC ITES/BPO for one of the leading Laptop/Desktop Brand.Location: Chandigarh, DLF IT ParkRoles & Responsibilities:  * Providing inbound voice support to customers for Laptop/Desktop,  * Hardware, Printers,scanner",TechnicalSupport/CustomerSupport-Chandigarh|
Openings for technical Support Voice Process / Enterprise Support,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,2-9years,300000 - 560000 INR,Openings for technical Support Voice Process / Enterprise Support |   |  Skype Interviews |  CTC- 5lpa + incentives |   |  Sam-9999300435,technicalnalayst|CustomerSupport|Activedirectory|MsOutlook|TSE|TSR|Technicalsupport|TechnicalHelpdesk|Dns|DHCP|Fsmo|ExchangeServer|O365|Ipv4|Ipv6|
Technical Support Engineer / Tech Support Engineer / Technical Support,Parahit Technologies Limited,Delhi,2-5years,320000 - 440000 INR,We are looking for high performing and independent Technical Support Engineer.,Dialer|Linux|Windows|Networking|
Technical Support,Hiringhub,NaviMumbai,0-4years,120000 - 220000 INR,Opening for us tech support,UsProcess|International|VoiceProcess|TechnicalSupport|
Software tech support  Technical Support,Busipex Services Private Limited,Chennai,0-4years,Not Specified,2 Female candidates for Software Tech Support,softwaretechsuppport|SoftwareSupportExecutive|TechnicalSupport|TechSupport|TechnicalSupportExecutive|TechnicalSupportEngineer|SoftwareSupport|TechnicalSupportEngineer|TechnicalSupportRepresentative|ITSupport|
Application Support Engineer (Technical Support),ThinkApps Solutions Private Limited,Ahmedabad|Mumbai,1-4years,Not Specified,|  Application Support Engineer (Technical Support) -  Mumbai/Ahmedabad /Gangtok/Lucknow/Guwahati/Thiruvananthapuram/Shimla/Jammu/Chandigarh/Bhopal,ApplicationSupport|
Technical Support Engineer / Technical voice process jobs,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 560000 INR,Openings for Technical Support voice process |   |  Skype interviews |  CTC - 5.6 lpa + incentives |   |  Sam-9999300435,TSR|Helpdesk|CustomerSupport|Activedirectory|AD|RemoteSupport|Desktopsupport|TechnicalSupport|SystemAdmin|SystemAdmin|Dns|DHCP|Fsmo|Imap|Pop3|IpConfiguration|Exchange|Citrix|ExchangeServer|
Technical Support Representative  (Sam-9999300435),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-6years,300000 - 560000 INR,Technical Support Representative  (Sam-9999300435) |   |  Min 1yr+ technical support voice experience is required. |  Skype interviews |   |  Call@ Sam - 9999300435,Activedirectory|TechnicalSupportRepresentative|Technicalsupportvoice|Fsmo|ExchangeServer|Dns|DHCP|TechnicalProcess|
Technical Support voice process -  Server Support,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-8years,300000 - 560000 INR,Technical Support voice process -  Server Support |   |  CTC upto 5.6 Lpa |  Telephonic interviews |   |  Sam-9999300435,CustomerSupport|Activedirectory|ipcofiguration|Voicesupport|remotesuport|technicalsupport|TechnicalHelpdesk|TechnicalSupportExecutive|Dns|dhcp|ExchangeServer|TechnicalSupportRepresentative|techsupport|Ipv6|ServerSupport|
Customer Support Executive / Technical Support Associate,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
International Technical Support / Rotational Shifts / Sal upto 3lpa,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Technical Support Engineer,Riju Karan (Proprietor Of Toyota Climax India),Surat,1-5years,250000 - 450000 INR,Requirement for the post of Technical Support Engineer.,DesktopSupportEngineer|TSR|TechnicalSupportEngineer|CustomerSupportEngineer|TechnicalSupportExecutive|Techsupport|DesktopEngineer|TechnicalSupportRepresentative|
Technical Support Engineer,Whitehr Consultancy Services,Pune,0-3years,180000 - 350000 INR,urgent required technical support freshers and experience candidates. |           |      MNC company on roll  |,HardwareNetworkingMale|HardwareAndNetworking|NetworkEngineer|SystemAdministrator|NetworkAdministrator|
Associate Technical Support- International Voice Process(CALL- 8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-11years,300000 - 500000 INR,Associate Technical Support-International Voice |  Location: Gurgaon/ Pune |  Qual- Gards/ UG/ Drops outs can apply |  Skills- 1 yr tech support exp in International Voice Process |  Shifts- 24/7 |  CTC- 5LPA + Incentives |  CALL LIPIKA |  8766285530/ 8467054123,TechSupportVoice|Troubleshooting|ActiveDirectory|ServiceDesk|ItHelpdesk|PrinterSupport|SystemAdministration|NetworkSupport|Ccna|ServerSupport|AzureActiveDirectory|ExchangeServer|RemoteSupport|TechnicalHelpdesk|TechnicalSupport|
Technical Support Engineer,Subrata Mondal (Proprietor Of Cafe Industry),Bhopal,1-5years,240000 - 420000 INR,Role: Technical Support Engineer,CustomerSupport|Emai|lPhone|Hindi|Troubleshooting|NetworkConfiguration|TechnicalSupport|
Technical Support Executive,Vibrantzz Management Services,Mumbai|MumbaiCity,2-6years,450000 - 2000000 INR,Hiring for Technical Assistance - Center Representative for US Based Corporate Company with Excellent salary packages. |    Candidates who have recently worked in a Technical voice process for min 2years and max 6years into BPO/IT sector can apply ASAP,TechnicalSupport|TechnicalSupportExecutive|
Hiring Graduate & UG Fresher / EXP / International BPO / Technical support Associate.,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Technical Support,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,2-4years,Not Specified,Technical Leadership experience required,CustomerSupportExecutive|TechnicalSupportExecutive|TechnicalSupportOfficer|TechSupport|TechnicalSupportEngineer|TechnicalSupportRepresentative|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Technical Support,Hiringhub,NaviMumbai,0-2years,90000 - 240000 INR,Hiring for Hsc and Graduate Fresher!!,CustomerSupport|USShift|TechnicalSupport|
Technical Support  Voice - Gurgaon,2COMS Consulting Private Limited,Gurgaon/Gurugram,1-7years,200000 - 370000 INR,Exciting Opportunity for Experienced Technical Support Executive In A Leading MNCDesignation: Technical SupportJob role  *  Have to solve Candidate Technical Quires through incoming calls.  *  Educating the customer about the technical issue,Troubleshooting|TechnicalKnowledge|CustomerSupport|TechncialSupport|
Technical Support Engineer / Tech Support / Technical Support Executive / TSE,Parahit Technologies Limited,Kozhikode/Calicut,2-5years,Not Specified,Looking for Technical Support Engineer,Linux|Centos|Windows|TechnicalSupport|
Technical Support Representative,Cappricos Technology Solutions Private Limited,Bengaluru/Bangalore,0-2years,100000 - 210000 INR,L1 technical support process: |   if interested Kindly call or Forward your Updated Resume to  |   Saima - 9731172224 |   Email:- [HIDDEN TEXT],TechSupportRepresentative|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Technical Support Engineer,Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore|Hyderabad/Secunderabad,2-4years,Not Specified,L2 Technical Support,CustomerSupportExecutive|TechnicalSupportExecutive|TechnicalSupportEngineer|TechnicalSupportOfficer|TechSupport|TechnicalSupportRepresentative|
Technical Support / Customer Support / Enterprise Support,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 560000 INR,Technical Support voice process jobs  |   |  CTC-5.6 lpa |  Skype interviews |   |  Sam-9999300435,Helpdesk|CustomerSupport|TSE|TSR|Activedirectory|Technicalsupport|ServiceDeskAnalyst|TechSupport|Fsmo|Dns|DHCP|ExchangeServer|Office365|O365|microsoftonlineservices|windowsintune|
Technical Support/Customer Support - Chandigarh,2COMS Consulting Private Limited,Mohali|Panchkula|Chandigarh,1-5years,Not Specified,"Technical support opening in MNC ITES/BPO for one of the leading Laptop/Desktop Brand.Location: Chandigarh, DLF IT ParkRoles & Responsibilities:  * Providing inbound voice support to customers for Laptop/Desktop,  * Hardware, Printers,scanner",TechnicalSupport/CustomerSupport-Chandigarh|
Openings for technical Support Voice Process / Enterprise Support,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,2-9years,300000 - 560000 INR,Openings for technical Support Voice Process / Enterprise Support |   |  Skype Interviews |  CTC- 5lpa + incentives |   |  Sam-9999300435,technicalnalayst|CustomerSupport|Activedirectory|MsOutlook|TSE|TSR|Technicalsupport|TechnicalHelpdesk|Dns|DHCP|Fsmo|ExchangeServer|O365|Ipv4|Ipv6|
Technical Support Engineer / Tech Support Engineer / Technical Support,Parahit Technologies Limited,Delhi,2-5years,320000 - 440000 INR,We are looking for high performing and independent Technical Support Engineer.,Dialer|Linux|Windows|Networking|
Technical Support,Hiringhub,NaviMumbai,0-4years,120000 - 220000 INR,Opening for us tech support,UsProcess|International|VoiceProcess|TechnicalSupport|
Software tech support  Technical Support,Busipex Services Private Limited,Chennai,0-4years,Not Specified,2 Female candidates for Software Tech Support,softwaretechsuppport|SoftwareSupportExecutive|TechnicalSupport|TechSupport|TechnicalSupportExecutive|TechnicalSupportEngineer|SoftwareSupport|TechnicalSupportEngineer|TechnicalSupportRepresentative|ITSupport|
Application Support Engineer (Technical Support),ThinkApps Solutions Private Limited,Ahmedabad|Mumbai,1-4years,Not Specified,|  Application Support Engineer (Technical Support) -  Mumbai/Ahmedabad /Gangtok/Lucknow/Guwahati/Thiruvananthapuram/Shimla/Jammu/Chandigarh/Bhopal,ApplicationSupport|
Technical Support Engineer / Technical voice process jobs,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 560000 INR,Openings for Technical Support voice process |   |  Skype interviews |  CTC - 5.6 lpa + incentives |   |  Sam-9999300435,TSR|Helpdesk|CustomerSupport|Activedirectory|AD|RemoteSupport|Desktopsupport|TechnicalSupport|SystemAdmin|SystemAdmin|Dns|DHCP|Fsmo|Imap|Pop3|IpConfiguration|Exchange|Citrix|ExchangeServer|
Technical Support Representative  (Sam-9999300435),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-6years,300000 - 560000 INR,Technical Support Representative  (Sam-9999300435) |   |  Min 1yr+ technical support voice experience is required. |  Skype interviews |   |  Call@ Sam - 9999300435,Activedirectory|TechnicalSupportRepresentative|Technicalsupportvoice|Fsmo|ExchangeServer|Dns|DHCP|TechnicalProcess|
Technical Support voice process -  Server Support,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-8years,300000 - 560000 INR,Technical Support voice process -  Server Support |   |  CTC upto 5.6 Lpa |  Telephonic interviews |   |  Sam-9999300435,CustomerSupport|Activedirectory|ipcofiguration|Voicesupport|remotesuport|technicalsupport|TechnicalHelpdesk|TechnicalSupportExecutive|Dns|dhcp|ExchangeServer|TechnicalSupportRepresentative|techsupport|Ipv6|ServerSupport|
Customer Support Executive / Technical Support Associate,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
International Technical Support / Rotational Shifts / Sal upto 3lpa,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Technical Support Engineer,Riju Karan (Proprietor Of Toyota Climax India),Surat,1-5years,250000 - 450000 INR,Requirement for the post of Technical Support Engineer.,DesktopSupportEngineer|TSR|TechnicalSupportEngineer|CustomerSupportEngineer|TechnicalSupportExecutive|Techsupport|DesktopEngineer|TechnicalSupportRepresentative|
Technical Support Engineer,Whitehr Consultancy Services,Pune,0-3years,180000 - 350000 INR,urgent required technical support freshers and experience candidates. |           |      MNC company on roll  |,HardwareNetworkingMale|HardwareAndNetworking|NetworkEngineer|SystemAdministrator|NetworkAdministrator|
Associate Technical Support- International Voice Process(CALL- 8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-11years,300000 - 500000 INR,Associate Technical Support-International Voice |  Location: Gurgaon/ Pune |  Qual- Gards/ UG/ Drops outs can apply |  Skills- 1 yr tech support exp in International Voice Process |  Shifts- 24/7 |  CTC- 5LPA + Incentives |  CALL LIPIKA |  8766285530/ 8467054123,TechSupportVoice|Troubleshooting|ActiveDirectory|ServiceDesk|ItHelpdesk|PrinterSupport|SystemAdministration|NetworkSupport|Ccna|ServerSupport|AzureActiveDirectory|ExchangeServer|RemoteSupport|TechnicalHelpdesk|TechnicalSupport|
Technical Support Engineer,Subrata Mondal (Proprietor Of Cafe Industry),Bhopal,1-5years,240000 - 420000 INR,Role: Technical Support Engineer,CustomerSupport|Emai|lPhone|Hindi|Troubleshooting|NetworkConfiguration|TechnicalSupport|
Technical Support Executive,Vibrantzz Management Services,Mumbai|MumbaiCity,2-6years,450000 - 2000000 INR,Hiring for Technical Assistance - Center Representative for US Based Corporate Company with Excellent salary packages. |    Candidates who have recently worked in a Technical voice process for min 2years and max 6years into BPO/IT sector can apply ASAP,TechnicalSupport|TechnicalSupportExecutive|
Hiring Graduate & UG Fresher / EXP / International BPO / Technical support Associate.,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Technical Support,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,2-4years,Not Specified,Technical Leadership experience required,CustomerSupportExecutive|TechnicalSupportExecutive|TechnicalSupportOfficer|TechSupport|TechnicalSupportEngineer|TechnicalSupportRepresentative|
