"Mandatory Skill: Angular 2+, HTML, CSS, Typescript, Javascript ,Es6,Bootstap",Best infosystems Ltd,Bengaluru/Bangalore|Chennai,4-9years,Not Specified,"Mandatory Skill: Angular 2+, HTML, CSS, Typescript, Javascript ,Es6,Bootstap. |  Strong expertise with HTML, CSS, Typescript, Javascript ,Es6 |  Proficient understanding of web mark-up,  HTML5, CSS3 |  Experience with RESTful services |  Good understanding. |   |",Angular|Html5|CSS|Javascript|
SFCC Developers,D4 insight,Remote,6-12years,Not Specified,Looking for SFCC Developers,SFCC(Demandware)|HTML|CSS|Javascript|
AEM Developer,Prime Online Pvt. Ltd,Kolkata,2-5years,Not Specified,"Web Application Developer will be a member of a global Development team, supporting Legacy systems and web sites as well as developing new features and new Web applications. |  CMM5 Level Product Development  MNC Company |  Now –WFH/ Later WFO – Kolkata",Javascript|CSS|HTML|Java|Aem|Database|
AEM Full Stack Developer,Deputize Consultancy Private limited,Bengaluru/Bangalore|Mysore,4-7years,1000000 - 1500000 INR,Hiring for AEM Full Stack Developer |     |    |   Package: 12to 15 lac (PA) |    |   Quick Joining: 15 days  (Depends on Knowledge) |    |   Experience: 4-7 YEARS |,AEM(version6.4plus)|HTML|CSS|Javascript|AngularJs|react.js|
Dot Net Developer,Simple Logic IT Private Limited,Mumbai|NaviMumbai,2-4years,Not Specified,"We are an IT managed services company based in Mumbai. We are currently looking for Dot Net Developer with 2+ (or more) years of relevant experience. Candidates with expert knowledge in Asp .Net, MVC will be given preference. |   |  Location : Mumbai",DotNet|DotNetDevelopment|Asp.Net|Mvc|HTML|CSS|Javascript|Xml|
Angular developer,Elite Corporate Solutions Private Limited,Gurgaon/Gurugram|Noida,3-5years,330000 - 500000 INR,Opportunity for Angular developer (Immediate candidates),Angulardeveloper|Angular2+|Javascript|HTML|CSS|
looking for a UI Developer,Best infosystems Ltd,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-6years,Not Specified,"• Hands-on experience in optimizing the UI of an application. |  • Good understanding of asynchronous request handling, partial page updates, and AJAX. |  Proficient understanding of web mark-up, including HTML5, CSS3. |  • Basic understanding of CSS pre-pro |",UIDeveloper|HTML|CSS|AJAX|
Java Developer,Diraa HR Services,Chennai|Coimbatore,2-5years,Not Specified,"A Java Developer is responsible for the programming and development of applications and software using the popular programming language, Java.",Javascript|Jscript|Php|Xml|Jquery|AJAX|HTML|CSS|
Senior Frontend Developer,Sourcebase Technologies Private Limited,Delhi|Gurgaon/Gurugram,3-6years,Not Specified,3 years of experience in frontend application development,Angular|Typescript|Javascript|Html5|CSS|Css3|
Sr. NodeJS Developer/NodeJS Developer/Full stack Developer,Hi Tides Consulting,Patan-Gujarat,2-7years,210000 - 810000 INR,Immediate opening for Sr.NodeJS Developer/NodeJS Developer,Html5|Javascript|CSS|NodeJS|MangoDb|Json|
Senior UI Developer - Angular2+,Talent Basket,Thiruvananthapuram/Trivandrum,4-10years,Not Specified,We are hiring Senior UI Angular 2+for Leading MNC@Trivandrum Technopark Location,UIDeveloper|Angular|CSS|Javascript|HTML|
Java Developer Core Java,Winx Consulting Services,Hyderabad/Secunderabad,2-6years,500000 - 900000 INR,"2+ years experience in java/j2ee |     Experience into spring boot, microservices,Hibernet, Agile methodlogy, |     Any one of the cloud comphenent |      |     Structs(Good to have)",Javascript|HTML|AJAX|Xml|Jscript|CSS|
Front End Developer,Redefined Corp,Chennai,2-4years,Not Specified,"Front End Developer  |  Solid knowledge of HTML, CSS, SASS. |  Familiar with UI layouts, SASS, bootstrap, and the CSS GRID system |  Excellent knowledge of Javascript and Jquery |  MVC architecture and OOP programming style.",SASS.JavascriptandJquery|HTML|CSS|
Angular  Developer,Deputize Consultancy Private limited,Mumbai,5-8years,Not Specified,"Please share copy of your updated resume if you are available and interested to learn more about this opportunity;   |   |   |  Angular Developer |  Mumbai |   |  Required Technical Skills |  • HTML5, CSS* |  • JavaScript |  • TypeScript |  • Angular 6+ |  • Understanding of version",Angular|HTML|CSS|
"UI Developer (Angular , Javascript)",Bodhami Private Limited,Bengaluru/Bangalore|Goa,1-4years,250000 - 350000 INR,"Bodhami is a National Award Winner of 2020 and featured on National Startup Showcase. We are looking for a UI Developer with hands on experience in Angular, Java to join our award winning team. |",Angular|Bootstrap|Html5|CssJavaScript|
UI Developer,Global Technologies,Bengaluru/Bangalore,2-6years,Not Specified,"2+ years of demonstrable experience in HTML5, CSS3 and JavaScript based web applications. |  Proficient in UI frameworks such as Angular or frontend libraries such as React. |  Proficient in jQuery. |  Have working knowledge of CSS extension language such as",UI|Angular|Frontend|Html5|CSS|Javascript|
Angular developer,HTC Global Services (India) Private Limited,Bengaluru/Bangalore,4-9years,Not Specified,"Opening for Angular developer for Manipal(WFH) |  Exp-4-8yrs |  Relevant in Angular should be 2 or 3yrs |  Must have Skill-Angular, Javascript, HTML,CSS, UI Frame wok |  Notice - Immediate to 15days |  pls share your profile to [HIDDEN TEXT]  |",uiframework|Angular|Javascript|html|css|
UI Developer,Nscript Web Studios Private Limited,Chennai,2-5years,200000 - 500000 INR,"Immediate job opening for Front end developer with strong skills in HTML,CSS, bootstrap and Javasccript",HTML|CSS|Javascript|AJAX|Bootstrap|jQuery|PsdToHtml|
WordPress / Drupal Developer,TEKYANTRA,Hyderabad/Secunderabad,3-6years,480000 - 1200000 INR,Looking for consultants who can join Immediately,WordpressCms|Drupal|Php|PHPprogrammer|Cms|Javascript|CSS|
Full Stack Developer,Complete HR Services,MumbaiCity|NaviMumbai,3-5years,Not Specified,"ROLE and RESPONSIBILITIES OF APP AND WEB DEVELOPER:-) |  ⚫ Know HTML, CSS, JavaScript, PHP, and other relevant web design coding languages |  ⚫ Create and test applications for websites |  ⚫ Collaborate |  ⚫ Present design specs |  ⚫ Work with graphics and other de",Language-Python|WebDevelopment|HTML|CSS|Javascript|Php|Java|
