jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Recruitment Executive,Green Window Consultancy,Kolkata,1-2years,Not Specified,"Excellent communication skills in English, Hindi & Bengali  &  self motivated , Organized , presentable & soft spoken",RecruitmentExecutive|
Recruitment Executive,Corient Business Solutions Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,1-3years,100000 - 200000 INR,"We are looking for an experienced and highly motivated Recruiter to join our company, you will be responsible for finding, sourcing, and hiring talent with the goal to full-fill company's hiring needs.",Screening|Sourcing|Recruitment|BulkHiring|Staffing|Recruiter|HrRecruitment|
HR- Recruitment,Coral Bling Services Private Limited,Pune,0-5years,100000 - 170000 INR,"Job Role- HR Recruiter. |  Work from office |  Sourcing candidates for various job profits from different sources. |  Screening the candidates for quality. |  Completing the given targets. |   |  Job Location- Kondhwa, Pune.",HrExecutive|Recruitment|
Technology Recruitment Specialist,Sciente International Pte Ltd,Bengaluru/Bangalore|Chennai,0-5years,Not Specified,"As a Technical Recruiter, you will work closely with hiring managers to lead and execute full-cycle recruiting for Singapore.",RecruitmentConsultant|Staffing|Hiring|ItRecruiter|ItStaffing|Recruitment|RecruitmentExecutive|TechnicalRecruiter|ITrecruitment|
Urgently Looking  for Recruitment Specialist (WFH),Bct Consulting Private Limited,Bengaluru/Bangalore|Chennai,0-5years,Not Specified,"Handle the entire recruitment cycle and sourcing candidates of suitable caliber from various sources like Job Portals, Postings, Walk-ins, Social Media and Internal or External References.",Recruiter|Recruitment|Staffing|
HR Recruitment Manager,Hi Tides Consulting,Bengaluru/Bangalore,6-10years,Not Specified,Proven work experience of a minimum of 7-8 years as a Recruiter and at least 4-5 years in managing recruiters,TalentAcquisition|Hiring|RecruitmentManager|
Sales Recruitment,Bee Data Technology Private Limited,Hyderabad/Secunderabad,1-5years,Not Specified,"As a Bench Sales Recruiter was involved in selling the bench consultants, including searching, qualifying, scheduling interviews, rate negotiations, and closing.",SalesRecruitment|
Team Leader Recruitment - For an Established Recruitment company,Aspire Group of Services,Thane,3-6years,2000000 - 4000000 INR,We are looking for successful recruiters who have 03 to 06 years of successful experience in permanent recruitment in a recruitment company only. We will be keen to engage with only those recruiters who have decided to grow in a recruitment company.,"ClientManagement|""Booleansearch""|TalentAcquisition|recruitment|Leadership|Recruiting|"
HR Executive ( Recruitment & Operations ),Smart Solution,Lucknow,Fresher,240000 - 300000 INR,Recruitment: |   |   |  Support the process of manpower planning |  To ensure that manpower requirement in the school in fulfilled in time |  Learn new avenues for sourcing candidates |  Should follow proper process for recruitment as per guidance,HrExecutive|HumanResource|Hr|HrGeneralist|Generalist|Recruitment|Ir|HrManager|
Recruitment for work from home,Space Consultancy,Kanpur|Lucknow,0-5years,300000 - 600000 INR,Work From Home/Online Jobs,Bpo|MedicalRep|Executivesales|developer|DataEntry|btech|Mba|Bcom|Bhm|Bba|Bsc|BA|InternetMarketing|Freshers|SoftwareEngineer|Receptionist|computeroperator|
HR Recruitment Executive,Emastech Consultancy services (OPC) Private Limited,Noida,1-3years,50000 - 250000 INR,"We are looking for an HR Recruiter to manage our full cycle recruitment, from identifying potential hires to interviewing and evaluating candidates. Ultimately, you will play an important part in building a strong employer brand for our company.",HRRecruitmentExecutive|
Freelance Recruitment Consultants,Topsource Infotech Solutions Private Limited,OtherIndia,0-5years,100000 - 600000 INR,Looking for Freelance Recruitment Consultants for Mid and Senior Level Pan India IT and Non - IT Recruitment. |   No Fixed Monthly Salary - Consulting Fee only ( 30 % of Billing ),Recruiter|NonITrecruiter|HrRecruitment|ItStaffing|Freelance|WorkFromHome|HomeBased|WFH|TechnicalRecruiter|RecruitmentExecutive|
Senior Recruitment Executive,Ambe Consultancy Services Private Limited,Pune,4-8years,Not Specified,"We are looking for Senior Recruitment Executive in TopSource. Any candidate who has 4 plus years of experience in Non IT Recruitment and who have worked in any BPO/KPO,ITES, Accounting, Payroll Industry need to apply for this post.",Recruitment|NonIt|
Talent Acquisition Manager or Recruitment Manager,AGP International Services,Mathura,2-5years,Not Specified,"sourcing of cvs for different profile and trade via naukri ,monster ,linkden portal . |      screening of Cvs line them up for interview , follow ups with candidates |      Evaluation of Cvs Screening ,Head hunting ,Short listing |     Excellent in MS office",Recruiter|Headhunting|Sourcing|
HR Recruitment Executive  HR Recruitment,International Trade Links,Chennai,3-13years,Not Specified,SOURCING & PROCESSING FOR GULF MANPOWER REQUIREMENT |   HINDI SPEAKING ABILITY MUST. |   BASIC KNOWLEDGE IN GULF VISA & STAMPING PROCESS.,HrRecruiter|HrExecutive|Recruiter|RecruitmentExecutive|
Recruitment Supervisor,Diraa HR Services,UnitedArabEmirates,3-8years,Not Specified,Recruitment Supervisor,"""RecruitmentSupervisor""|"
Urgent Recruitment for Banking Sector,Nexplace Info Private Limited,Coimbatore,0-5years,250000 - 350000 INR,"Bank tellers are responsible for handling customer financial transactions like deposits, withdrawals, transfers, money orders, and checking.A bank teller's duties also may include counting cash, answering phones, filing deposit slips.",Telecalling|Telemarketing|Telecaller|Telemarketingexecutive|Telesalesexecutive|
IT Team Leader / IT Recruitment,Nexplace Info Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Looking for IT Team Leader,HrExecutive|TeamLeader|RecruitmentExecutive|ITRecruitment|
IT  Delivery Manager / Recruitment Manager,Nexplace Info Private Limited,Bengaluru/Bangalore,8-11years,Not Specified,Looking for IT  Delivery Manager,HrManager|ItManager|RecruitmentManager|
IT Delivery Manager / Recruitment Manager,Sumedha Management Consultancy,Bengaluru/Bangalore,8-12years,Not Specified,Looking for IT Delivery Manager,HrManager|ITdeliverymanager|RecruitmentDelivery|ItManager|RecruitmentManager|
Recruitment Executive,Talent Arabia FZ LLC,Lucknow,0-2years,Not Specified,"Require a recruiter in Lucknow-UP who is competent to handle job portal, has computer skills  and good in mailing.",Recruitment|TalentAcquisition|HumanResource|Hiring|
IT Recruitment,Orcapod Consulting Services Private Limited,Delhi|Mumbai,1-4years,Not Specified,|  We are looking for a IT recruiter.. You can work from your home and anywhere in India.,ItRecruiter|ItStaffing|Recruitment|ITRecruitment|TechnicalRecruiter|TechRecruiter|
IT Recruiter  IT Recruitment,Aspire Group of Services,Mumbai|Pune,1-8years,Not Specified,Orcapod is looking for Female IT recruiters  |  Minimum 9 months to 1years Experience is must. |  Fully work from Home Timings:- 9:30-6:30PM 2nd and 4th sat off. |  Must have own Laptop/Desktop with Internet Connection.  |  Fixed Salary per month with mobile rei,ItSkills|ITRecruitment|
HR Executive ( Recruitment & Operations ),Gee Kay Infotech,Lucknow,0-1years,140000 - 229999 INR,Salary: 14000/- per month (Gross) ; Other benefits: Statutory + Leave Encashment + Yearly bonus. |   |  Job specifications / Eligibility criteria: |   |  Experience: 0 TO 01 Years |   |  Qualification: Any Graduate. |   |  Work location: ALL OVER LUCKNOW |,HrExecutive|Officer|Assistant|Backend|OperationsExecutive|
