jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
AWS SOLUTION ARCHITECT/AWS/CLOUD/AWS,3 Minds ESolutions Private Limited,Bengaluru/Bangalore,7-12years,Not Specified,We are looking for AWS solution Architect for Bangalore location |  Work from Home |,AWS|Cloud|Saas|AwsCloud|
AWS Devops Engineer,Star Jobs Private Limited,Noida,5-10years,Not Specified,1: AWS certified (Mandatory) |   |  2: has worked on Nagios/Wazuh/Kibana Dashboard for monitoring. |   |  3: Minimum of 4 years of working experience on AWS. (Mandatory),"""AWS""|""AWSDevop""|""DevopsAWS""|""Nagios""|""Wazuh""|""Kibana""|""AWSDevops""|""DevopsEngineer""|"
AWS Architect,VP Delivery & Operations,Bengaluru/Bangalore|Mumbai,5-15years,Not Specified,"FrontM is a UK and India based, fast-growing software platform startup built with patented architectural design using MERN stack and AWS infra. This role is for a senior backend engineers with AWS, DevOps, CI/CD and node.js development experience.",AWS|Cloudfront|Node.js|JavaScript|Ec2|
SAP hybris,Keen Bright Solutions Llp,Hyderabad/Secunderabad,4-10years,Not Specified,SAP hybris,Java|AWS|Git|SpringBoot|AwsCloud|
NodeJs Developer  for Bahrain,Vinirma Consulting Private Limited,Bahrain,3-7years,Not Specified,NodeJs Developer for Bahrain. 3 to 5 years of experience  |  Experience in Node.JS,Angularframework|aws.|Nodejs|
1 YEAR CONTRACT TO HIRE OPENING FOR AWS DEVELOPER. EXPERIENCE : 7+ YEARS,BR Raysoft Global Private Limited,Bengaluru/Bangalore|Chennai,7-14years,Not Specified,1 YEAR CONTRACT TO HIRE OPENING FOR AWS DEVELOPER. |  EXPERIENCE : 7+ YEARS,AWSDEVELOPER|
AWS Developer,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore,4-10years,Not Specified,"We are looking for AWS Developer with 4-10 years experience in AWS, Python, Lambda, Kinesis and Database – RDS/ Postgres/Mysql/Dynamo DB/Mango DB.",Kinesis|AppGateway|Dynamo|AWS|Python|Lambda|RDS|Sql|Mysql|DataBase|
AWS Solution Architect,Brain Management Consultants India Private Limited,Bengaluru/Bangalore|Mumbai,9-19years,Not Specified,AWS Solution Architect,AwsSolutionArchitect|Migration|Docker|Jenkins|Kubernetes|
AWS Developer,Anupama (Proprietor of Making IT Simplest),Chennai|Hyderabad/Secunderabad,2-6years,Not Specified,Hiring for one of the top most Insurance Sector based in India (Hyderabad - Hitech City),react.js|Angular|Node.js|MongoDB|HTML|CSS|Angular|react.js|Java|Python|
JAVA AWS EXPERT,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,5-10years,1100000 - 1800000 INR,Job Description |   |  Strong programming skills with at least 5-10 years of experience with a strong desire |   |  to work on Java/J2EE. Responsible for module design / low level architecture. |   |  Code/develop applications to program specifications Participate in,StrongonSpring|PortletMVC|Microservicearchitecture|moduledesign|lowlevelarchitecture|DTD/XSDSchemas|AWS|Core|JavaProgramming|Mvc|Aop|Hibernate|Jpa|Java|J2EE|UI|JQuery|Javascript|Bootstrap|Js|AJAX|Dom|Xpath|Xsl|Dwr|Gwt|Xml|
Senoir Developer AWS support,Provance Business Consulting Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Opportunity for Senior developer AWS -  TSI |  Experience : 5 - 8 yrs,php/laravel|aws|MsOffice|
1 YEAR CONTRACT TO HIRE OPENING FOR PYON AND SQL DEVELOPER. EXPERIENCE : 5+ YEARS,BR Raysoft Global Private Limited,Hyderabad/Secunderabad,5-12years,Not Specified,1 YEAR CONTRACT TO HIRE OPENING FOR PYON AND SQL DEVELOPER. |  EXPERIENCE : 5+ YEARS,PYTON|Sql|AWS|
AWS Developer,Arocom IT Solutions Private Limited,Bengaluru/Bangalore|Chennai,4-8years,Not Specified,* Should have worked as AWS Developer at least 4+ yrs. and minimum of 2 projects.,Python|AWS|Restapi|AwsCloud|
Data Engineer / Data Scientist,HR Factor,Remote,4-8years,Not Specified,Looking for Data Engineer / Data Scientist,Genetics|Genomics|DataAnalysis|Python|AwsCloud|Bigquery|AWS|Gcp|
Devops Engineer,Team Ace HR LLP,Bengaluru/Bangalore|Mumbai,5-10years,600000 - 1400000 INR,	Devops Engineer with Kubernetes |  	Either AWS / Azure/ GCP/ICP experience is mandatory |  	Should Have Done Application Migration + Monitoring,Icp|Devops|Kubernetes|AWS|Azure|Gcp|
AWS Big Data and Ops Engineer,C P Careers Private Limited,Hyderabad/Secunderabad,2-5years,Not Specified,"Pull together complex and disparate data sources, execute a wide range of transformations, warehouse those data and architect a foundation to produce scalable and flexible BI and analytical content in AWS",Spark-SQL|GlueETL|Gluecatalog|Athena|quicksight|Sql|Hive|Python|AwsServices|S3|Emr|Redshift|Cloudwatch|
Job Opening for .Net Core + Azure/AWS Professionals,Hiremount Solutions Private Limited,Mumbai|Pune|MumbaiCity,5-12years,Not Specified,Hiring for .Net Core + Azure/AWS Professionals,""".netcore""|Azure|AWS|"
Python Django Developer,Team Ace HR LLP,Chennai|Noida,5-9years,800000 - 1600000 INR,Job description |  Experience: 5 to 9 Years |  Mandatory Skills: |  • Python with Django |  • Good database (any RDBMS tool) |  • Angular 2 and Above (should be willing to learn Angular if doesnt know already) |  • Willingness to work in L3 role to start with and late,PythonwithDjango|Gooddatabase|RDBMStool|Angular2AWS|Cloud|
AWS Full Stack Developer,Infinity HR Solutions,Remote,4-10years,Not Specified,AWS LEX l AWS Skills Training l AWS Certifications l S3 l rest integration l  CI/CD pipelines l WAF l Cloudfront l Angular l JSON l Lambda l Lex l Cognito l Dynamo DB l QuickSight,AWSLEXlAWSSkillsTraininglAWSCertificationslS3lrestintegrationlCI/CDpipelineslWAFlCloudfrontlAngularlJSONlLambdalLexlCognitolDynamoDBlQuickSight|
Job Opening for .Net Core + Azure/AWS Professionals,Macropace Technologies,Chennai,5-12years,Not Specified,Hiring for .Net Core + Azure/AWS Professionals,""".netcore""|Azure|AWS|"
DevOps Engineer Openings,C P Careers Private Limited,Bengaluru/Bangalore|Gurgaon/Gurugram,5-10years,Not Specified,"experience in Docker, Kubernetes, AWS services",Docker|Kubernetes|AWS|Devops|
Immediate openings for Cloud engineer in Mindtree,Virtusa Software Services Private Limited,Bengaluru/Bangalore|Chennai,4-8years,Not Specified,|                                  |                              |                                  |,
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
AWS SOLUTION ARCHITECT/AWS/CLOUD/AWS,3 Minds ESolutions Private Limited,Bengaluru/Bangalore,7-12years,Not Specified,We are looking for AWS solution Architect for Bangalore location |  Work from Home |,AWS|Cloud|Saas|AwsCloud|
