jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Immediate C2H Opening for  SFDC Developers at Bangalore. Exp:5+Yrs,BR Raysoft Global Private Limited,Bengaluru/Bangalore,5-12years,Not Specified,"Immediate C2H Opening for  SFDC Developers at Bangalore. |  Exp:5+Yrs |  Notice period : Max 20 days |  Mandatory skills: |  SFDC Development |  Apex class, Apex Triggers |  JIRA |  If interested please share your Resume/CV to [HIDDEN TEXT]  with below details. |",sdfc|apex|jira|
"Full Stack /  Angular 9+ developer (expert level) with AWS, mySQL",Star Jobs Private Limited,Chennai,5-10years,1500000 - 2200000 INR,Full stack developer with deep level of expertise on Angular (9/10). Experience on commonly used modules along with working on back end development and building APIs. Should have used tools like JIRA and background working on CI/CD environments.,angular.js|Typescript|NodeJS|AWS|JIRA|Github|
Sr. ServiceNow Developer,Skynet Placements,Noida,4-12years,Not Specified,Evening Shift – 6:00 PM to 3:00 AM |   • Min. 6 years of service now experience |   • Experience integrating two separate ServiceNow systems. |   • Experience integrating JIRA,ServicenowDevelopment|UIActions|UIScripts|UIPolicy|ServiceNowDeveloper|Servicenow|JIRA|
Urgent opening for Embedded C Developer |||| for vadodara location ( on thirdparty payroll),Amrut Software Pvt Ltd,Vadodara,3-7years,600000 - 700000 INR,"Embedded SW development using Embedded C (Must) C++ C# (Good to Have) |   Familiarity with Configuration Management Tools, SVN, JIRA, Polarion |  Protocols: CAN J1939, LIN, SPI, I2C |  Exp : 3 to 7 |  location for - vadodara",EmbeddedSWdevelopment/C++C#/SVN|Polarion|JIRA|
Atlassian Tool Expert,Staffing Solutions,Pune,5-8years,Not Specified,We at Amrut Software Pvt Ltd have urgent opening for Atlassian Tool Expert with minimum 5 years relevant experience,Jiradeskservice|AtlassianConfluence|JIRA|Bamboo|Crowd|Confluence|Bitbucket|
Software Engineer - HL7 (MIRTH SUPPORT / MIRTH DEVELOPER),Supro Info Solutions Private Limited,Bengaluru/Bangalore|Gurgaon/Gurugram,3-6years,1000000 - 1400000 INR,"Mandatory Skills - Mirth Connect, JIRA, Service, HL7",MirthConnect|HL7V2.X|Mirth|Hl7|JIRA|
Job Opportunity for Mulesoft Tester,Provance Business Consulting Private Limited,Hyderabad/Secunderabad,4-9years,Not Specified,We are looking for Mulesoft Tester,Api|MuleEsb|JIRA|
Android Developer,Skynet Placements,Bengaluru/Bangalore,2-3years,Not Specified,Android Developer with 2- 3 years of experience with Android SDKs,JiraStudio|Java|Soap|Json|Git|JIRA|MVVM|Mvc|AndroidStudio|AndroidSDK|
Core Java Developer,HDFC Life Insurance,Vadodara,3-7years,670000 - 1480000 INR,"Must Know:- Core Java, Hibernate, Relational Database Management System, Junit. |   |  Good to know:- AWS, Devops, Git, SVN, JIRA, J2EE, Spring Boot, Struts, SQL, Scalable, High Performance, Rest API, Front End Technologies & Agile.",CoreJava|Hibernate|RDBMS|Junit|Devops|JIRA|J2EE|FrontEndDevelopment|
Manager Fullstack,Hi Tides Consulting,Mumbai,6-10years,Not Specified,Looking for Manager Fullstack,FullStackDeveloper|Node.js|react.js|JIRA|SoftwareDevelopment|
Salesforce Admin (Immediate joinee),Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore,3-4years,Not Specified,"Business Analysts on reviewing and prioritization of Jira tickets  |  Handle basic administrative functions including account maintenance, reports & dashboards, workflows and other routine tasks, Design, configure and maintain security/sharing rules  |",Design|jiratickets|SalesforceAdmin|SalesforceAdministrator|Configure|Configure|Workflows|
Functional Testing,Apptad Technologies Private Limited,Bengaluru/Bangalore|Mumbai,2-6years,Not Specified,Functional Tester |  Avalibility: Virtual Drive on 10-Apr-21,FunctionalTesting|JIRA|HpAlm|Agile|
Java full Stack Developer,Cynosure Corporate Solutions,Gurgaon/Gurugram,4-11years,Not Specified,"Urgent Hiring for Java Developer with AngularJS, ReactJS _ Remote",JavaOrJ2ee|AWS|react.js|Angularjs|MongoDB|REST|Soap|Springboot|Framework|Javascript|JIRA|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Business Analyst – Wealth Management,CGI Information Systems and Management Private Limited,Bengaluru/Bangalore,10-15years,Not Specified,Looking for Business Analyst,BusinessAnalyst|Ncfm|WealthManagement|Sql|JIRA|
Test Engineer,Indium Software (India) Limited,Chennai,2-6years,Not Specified,We invite experienced Manual Test Engineers with Good Experience in   JIRA  for an amazing career with Indium Software |   |  Date: Wednesday 21st   April 2021  |  Time: 2.00 PM – 4.30 PM  |   |,ManualTesting|JIRA|
Senior Business Analyst,Sun Technology Integrators Private Limited,Bengaluru/Bangalore,4-6years,Not Specified,Senior Business Analyst,BusinessAnalyst|CI/CD|Agile|JIRA|
Immediate Opportunity for  Java Full Stack Developer,InfoPro Solutions Pvt Ltd,Bengaluru/Bangalore,3-6years,10000 - 1500000 INR,"	Good to very good Java knowledge    |   	Experience  with development  tools (Eclipse, git, Docker,  Jira) and automated  tests (JUnit)  |   	Experience with React.js Html, css,  |   	Proficiency working with relational databases",Java|react.js|Docker|Spring|Hibernate|Junit|JIRA|Git|
Project Manager,Cynosure Corporate Solutions,Chennai,10-15years,Not Specified,This role will be reporting into the Manager of the programme office and will be responsible for the management of the technology roadmap. |   |  Identify and map all Technology Programme Dependencies,bigpicture|PMI|PictureenterprisePmp|JIRA|Prince2|
Android Developer,Hi Tides Consulting,Mohali,1-2years,300000 - 620000 INR,"android SDK,Kotlin, Android UI ,RESTful webservices , JIRA, Github",AndroidUI|Githubkworld|AndroidSDK|Kotlin|RestfulWebservices|JIRA|
Power BI Developer,Siera IT Services Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,Urgent Requirement For POWER BI Developer@ Client Location.,PowerBi|JIRA|Sql|Agile|Python|
QA Automation Engineer-Lead,Cloudray India Private Limited,Hyderabad/Secunderabad,6-8years,650000 - 869999 INR,"Position: QA Automation Engineer - Lead |     Location: Gachibowli, Hyderabad",AutomationEngineer|SoapUi|MangoDb|JIRA|ApiTesting|
Jira Admin,Emastech Consultancy services (OPC) Private Limited,Bengaluru/Bangalore|Pune,5-7years,500000 - 1500000 INR,We are looking to hire Jira Devops/ Admin with extensive experience in Atlassian suite (Must be Atlassian Certified),atlassiangreenhopper|Developer|JIRA|AtlassianConfluence|
Embedded C Developer,Skynet Placements,Vadodara,3-7years,310000 - 850000 INR,"We have an urgent requirement for the leading MNC company in Vadodara Location |   |  Embedded SW development using Embedded C (Must) C++ C# (Good to Have) |  Protocols: CAN J1939, LIN, SPI, I2C |  SVN, JIRA, Polarion |  JIRA, Git , Gerrit, Version Management |   |",CJava|C++|Lin|Spi|JIRA|Svn|
Software Test Engineer,Mindteck (India) Limited,Bengaluru/Bangalore,4-7years,Not Specified,"Software Tester with good experience in Functional Testing ,Mobile App Testing ,API Testing",bugreports|SoftwareTesting|ApiTesting|MobileTesting|JIRA|Scrum|
Immediate C2H Opening for  SFDC Developers at Bangalore. Exp:5+Yrs,BR Raysoft Global Private Limited,Bengaluru/Bangalore,5-12years,Not Specified,"Immediate C2H Opening for  SFDC Developers at Bangalore. |  Exp:5+Yrs |  Notice period : Max 20 days |  Mandatory skills: |  SFDC Development |  Apex class, Apex Triggers |  JIRA |  If interested please share your Resume/CV to [HIDDEN TEXT]  with below details. |",sdfc|apex|jira|
"Full Stack /  Angular 9+ developer (expert level) with AWS, mySQL",Star Jobs Private Limited,Chennai,5-10years,1500000 - 2200000 INR,Full stack developer with deep level of expertise on Angular (9/10). Experience on commonly used modules along with working on back end development and building APIs. Should have used tools like JIRA and background working on CI/CD environments.,angular.js|Typescript|NodeJS|AWS|JIRA|Github|
Sr. ServiceNow Developer,Skynet Placements,Noida,4-12years,Not Specified,Evening Shift – 6:00 PM to 3:00 AM |   • Min. 6 years of service now experience |   • Experience integrating two separate ServiceNow systems. |   • Experience integrating JIRA,ServicenowDevelopment|UIActions|UIScripts|UIPolicy|ServiceNowDeveloper|Servicenow|JIRA|
Urgent opening for Embedded C Developer |||| for vadodara location ( on thirdparty payroll),Amrut Software Pvt Ltd,Vadodara,3-7years,600000 - 700000 INR,"Embedded SW development using Embedded C (Must) C++ C# (Good to Have) |   Familiarity with Configuration Management Tools, SVN, JIRA, Polarion |  Protocols: CAN J1939, LIN, SPI, I2C |  Exp : 3 to 7 |  location for - vadodara",EmbeddedSWdevelopment/C++C#/SVN|Polarion|JIRA|
Atlassian Tool Expert,Staffing Solutions,Pune,5-8years,Not Specified,We at Amrut Software Pvt Ltd have urgent opening for Atlassian Tool Expert with minimum 5 years relevant experience,Jiradeskservice|AtlassianConfluence|JIRA|Bamboo|Crowd|Confluence|Bitbucket|
Software Engineer - HL7 (MIRTH SUPPORT / MIRTH DEVELOPER),Supro Info Solutions Private Limited,Bengaluru/Bangalore|Gurgaon/Gurugram,3-6years,1000000 - 1400000 INR,"Mandatory Skills - Mirth Connect, JIRA, Service, HL7",MirthConnect|HL7V2.X|Mirth|Hl7|JIRA|
Job Opportunity for Mulesoft Tester,Provance Business Consulting Private Limited,Hyderabad/Secunderabad,4-9years,Not Specified,We are looking for Mulesoft Tester,Api|MuleEsb|JIRA|
Android Developer,Skynet Placements,Bengaluru/Bangalore,2-3years,Not Specified,Android Developer with 2- 3 years of experience with Android SDKs,JiraStudio|Java|Soap|Json|Git|JIRA|MVVM|Mvc|AndroidStudio|AndroidSDK|
Core Java Developer,HDFC Life Insurance,Vadodara,3-7years,670000 - 1480000 INR,"Must Know:- Core Java, Hibernate, Relational Database Management System, Junit. |   |  Good to know:- AWS, Devops, Git, SVN, JIRA, J2EE, Spring Boot, Struts, SQL, Scalable, High Performance, Rest API, Front End Technologies & Agile.",CoreJava|Hibernate|RDBMS|Junit|Devops|JIRA|J2EE|FrontEndDevelopment|
Manager Fullstack,Hi Tides Consulting,Mumbai,6-10years,Not Specified,Looking for Manager Fullstack,FullStackDeveloper|Node.js|react.js|JIRA|SoftwareDevelopment|
Salesforce Admin (Immediate joinee),Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore,3-4years,Not Specified,"Business Analysts on reviewing and prioritization of Jira tickets  |  Handle basic administrative functions including account maintenance, reports & dashboards, workflows and other routine tasks, Design, configure and maintain security/sharing rules  |",Design|jiratickets|SalesforceAdmin|SalesforceAdministrator|Configure|Configure|Workflows|
Functional Testing,Apptad Technologies Private Limited,Bengaluru/Bangalore|Mumbai,2-6years,Not Specified,Functional Tester |  Avalibility: Virtual Drive on 10-Apr-21,FunctionalTesting|JIRA|HpAlm|Agile|
Java full Stack Developer,Cynosure Corporate Solutions,Gurgaon/Gurugram,4-11years,Not Specified,"Urgent Hiring for Java Developer with AngularJS, ReactJS _ Remote",JavaOrJ2ee|AWS|react.js|Angularjs|MongoDB|REST|Soap|Springboot|Framework|Javascript|JIRA|
