jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Quality Assurance- Injectable Plant @ Rudrapur,VHB Medisciences Limited,Rudrapur,1-11years,Not Specified,Quality Assurance-Trainee/Officer/Executive,Assurance|Qa|QualityAssurance|
Quality Assurance- Salesforce,Eteam Info Services Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,Job Location: Hyderabad |    Role: Quality Assurance |    Payroll: eTeam |    Experience : 5+ Years |   |,QAsalesforce|salesforce|Testing|Salesforce.com|Automation|
Quality Assurance- Injectable Plant @ Rudrapur,VHB Medisciences Limited,Rudrapur,1-11years,Not Specified,QA Trainee/Officer/Executive,QATrainee|QAExecutive|QualityAssurance|QaOfficer|
Associate  Quality Assurance Engineer,AasaanJobs Private Limited,Mumbai,3-6years,1000000 - 1400000 INR,Associate digital quality assurance -Mobile app testing Automation Selenium |   |  Automation: 20% |  Selenium: 20% |  Appium: 20% |  Jenkins: 20% |  GRPC: 20%,SeleniumAutomation|Java|Appium|Jenkins|
Senior Quality Assurance Engineer,Sunquest Information Systems (India) Private Limited,Kolkata,5-9years,Not Specified,"The candidate needs to conduct daily unit or integration testing as assigned by the Test Team Leader. As a Test Team member, the candidate will improve the Test Methodology via the development of specific work instructions or test tools.","""manualtesting""|""automation""|Healthcare|"
"Mechanical Quality Engineer, Quality Assurance/Control (QA/QC)",Career Mantra Management Services,Mumbai|Pune,0-2years,240000 - 420000 INR,"Urgently required QA/QC Engineer for manufacturing plant in pune. Evaluating personal qualification and procedure accordance with project. preparing inspection reports, analyzing root causes and evaluating possible & issuing non-confirmations reports",MechanicalQualityEngineer|QualityAssurance/Control(QA/QC)|MechanicalEngineer|DiplomaMechanical|Q.A.|Qc|Qualitycontrol|Quality|Qualityassurance|Qualityanalyst|Qa|Testing|
Quality Assurance,Eteam Info Services Private Limited,Hyderabad/Secunderabad,5-15years,Not Specified,Job Location: Hyderabad |   Role: Salesforce QE |   Payroll: eTeam |   Experience : 5+ Years |   Only early joiner candidates please apply!,SalesforceSFDC|TestAnalyst|QualityAssurance|TestEngineer|QaEngineer|Tester|
Quality Control/ Quality Inspector/ quality/ Quality Assurance /QC Engineers,Goodrich Gasket Private Limited,Chennai,2-5years,Not Specified,The Quality Control Engineer is responsible for ensuring conformance of the product quality in the section to the specified standards stated by the customer or GGPL through stringent quality checks.,QualityControl|Qc|Qualitycontrol|QualityAssurance|QualityEngineer|Quality|
Urgent Opening for QA - Asstt Manager,SR Group,Amritsar,7-17years,Not Specified,"Need QA-Responsible for HVAC, Water System, Utility, Equipment, Qualification. |        •	Responsible for process Validation, Cleaning Validation. |        •	Responsible for Quality Risk Management, Self Inspection Compressed air  |        Location will be Amritsar",NeedAssistantManager-QualityAssurance:|
"Quality Assurance/Control , 2 - 8 years",AGN Corporate Consultancy Services,Mohali|Chandigarh,2-8years,Not Specified,|                                  |,
MNC Required  Quality Engineers /Mechanical Maintenance Engineers,Career Mantra Management Services,Hyderabad/Secunderabad|Pune,3-5years,229999 - 540000 INR,Requirement Mechanical engineers For MNC PVT Ltd. Companies |    Direct Joining Available |    Post:Quality & Maintenance Engineers |   Salary 28k to 30k  |  Education:BE/Dip any Stream |    Any Passout Year Can apply |    More Details |     9371274040  |     HR Megha |,Plc|Transportation|SupplyChainManagement|BreakdownAnalysis|UtilityMaintenance|PlantManager|SCADA|plantaAutomation|
Quality Analyst|| International Process|| Ggn/ Noida/ Pune(CALL-8766285530),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 550000 INR,"TOP BPO |   |  Req 1+yr exp into Quality managing International Chat/ Banking Process |  Must have worked on Bottom Cotile, Call Callibration and Auditing |   |  CTC Upto: 5.5L |   |  Qual- Graduates |   |  Shifts- 24/7 |   |  CALL- 8766285530/8467054123 |  [HIDDEN TEXT]",QualityAudit|CallFeedback|QualityEvaluator|QualityCoach|CallMonitoring|7QcTools|CallBarging|InternationalChat|SupervisorQuality|LeadQualityAnalyst|InternationalProcess|QualityAnalyst|Qa|QualityAnalysis|Quality|QualityAssurance|
Quality Assurance Executive,Fast And Direct Services,Bengaluru/Bangalore|MumbaiCity,0-1years,220000 - 500000 INR,"BPO QA, transaction quality, audit and feedback, call audits, RCA, briefings, calibrations, quality induction, quality executive, quality assurance, CSAT, projects, analysis, six sigma, quality reports",BPOQA|TransactionQuality|auditandfeedback|callaudits|Rca|briefings|calibrations|qualityinduction|CSAT|Projects|Analysis|SixSigma|qualityreports|QualityExecutive|qualityassurance|
BE Mechanical 0 to 1 years Exp.,Career Mantra Management Services,Pune,0-1years,150000 - 340000 INR,"Requirement Mechanical engineers For MNC PVT Ltd. Companies |     Post - Production,Quality Engineer |     Required experience :-0 to 1year |     About Company :- core automobile sector |     More Details  |     9371274040  |     HR Megha |  Apply here",MechanicalEngineer|Production|Qualitycontrol|Quality|ProductionSupervisor|QualityAnalyst|QualityEngineer|Qualityassurance|
"Mechanical Quality Engineer, Quality Assurance/Control (QA/QC)",Career Mantra Management Services,Hyderabad/Secunderabad|Pune,0-2years,220000 - 420000 INR,Direct Joining Available |   Apply Here,MechanicalQualityEngineer|QualityAssurance/Control(QA/QC)|MechanicalEngineer|DiplomaMechanical|Q.A.|Qc|Qualitycontrol|Quality|Qualityassurance|Qualityanalyst|Qa|Testing|
QUALITY ASSURANCE & QUALITY CONTROL (QA/QC),SKG Services,Ahmedabad|Baddi,0-4years,Not Specified,QUALITY ASSURANCE & QUALITY CONTROL (QA/QC),QcChemist|QualityAnalystTesting|QualityControlTesting|QAQualityAssurance|TestAnalyst|QualityControlAnalyst|Qa|QualityAnalyst|QualityAssuranceAnalyst|
QUALITY ASSURANCE & QUALITY CONTROL (QA/QC),SKG Services,Ahmedabad|Baddi,0-4years,Not Specified,QUALITY ASSURANCE & QUALITY CONTROL (QA/QC),QcChemist|QualityAnalystTesting|QualityControlTesting|QAQualityAssurance|TestAnalyst|QualityControlAnalyst|Qa|QualityAnalyst|QualityAssuranceAnalyst|
Corporate Quality Assurance for Leading IT Telecom MNC,Prosperspective Hr Solutions LLP,Pune,4-10years,Not Specified,Looking for a Quality Assurance Analyst for a Leading IT Telecom MNC,IsoAudit|QualityAudit|Iso|SixSigma|Qms|QualitySystem|Cmmi|Quality|
Quality Engineer,Freelancer Divekar Kaniza Ishaq,NaviMumbai|Thane,1-4years,110000 - 210000 INR,Urgent Opening for Quality Engineer-Rabale,QualityControl|Inwardrawmaterial|QualityAssurance|
Required Quality Engineers,Jailaxmi Enterprises,Pune,0-4years,Not Specified,"We have urgent Requirement for Quality engineers. |  Job type :- on roll,full time  |  Required Experience :- 0 to 4 year  |  About company :- core automobile  sector  |  Required knowledge :- good technical skill |",QualityControl|QualityAssurance|QualityEngineer|
ASSOCIATE MANAGER-QED,Crescendo Manpower Consultany Private Limited,Hyderabad/Secunderabad,2-6years,200000 - 280000 INR,"WE HAVE OPENING FOR ASSOCIATE MANAGER-QED IN A FMCD COMPANY,LOCATION HYDERABAD,SALARY UPTO 2.8 LPA","QED|5S|""QualityAssurance""|Iso|""QCTools""|"
AccionLabs seeking QA Automation Engineer  - Performance testing.,Accion Labs India Private Limited,Chennai|Mumbai|MumbaiCity|NaviMumbai|Thane,6-12years,Not Specified,Looking for candidates with 81 years of experience from Reputed product development Companies / Reputed Colleges with either Master's / Bachelor's degree. |  Mode of Interview –2 rounds of 2 way video interview followed by Manager round and HR Round,AutomationTesting|PerformanceTesting|QaAutomation|
Fresher mechanical Engineer For MNC Company,Infomedia Solutions And Consultant,Pune|Nashik,0-1years,180000 - 260000 INR,"We have urgent requirement for Mechaical  engineers. |       Job type :- on roll,full time |       Required experience :- 0 to 1 year |       About Company :- MNC company.",QualityControl|ProductionEngineer|QualityAssurance|MaintenanceEngineer|
